Gender,Age,Height (cm),Weight (kg),Workout,YouTube Link
Male,5,90,20,Bodybuilding routines,https://www.youtube.com/watch?v=ZyXH5nJe2m4
Male,5,90,20,Meditation and relaxation techniques,https://www.youtube.com/watch?v=inpok4MKVLM
Male,5,90,20,Powerlifting basics,https://www.youtube.com/watch?v=6HkgXGyoUco
Male,5,90,20,Strength training exercises,https://www.youtube.com/watch?v=U0bhE67HuDY
Male,5,90,20,HIIT workout for weight loss,https://www.youtube.com/watch?v=ml6cT4AZdqI
Male,5,110,20,Low-impact cardio workouts,https://www.youtube.com/watch?v=brxWLHDeTco
Male,5,110,20,Bodybuilding routines,https://www.youtube.com/watch?v=ZyXH5nJe2m4
Male,5,110,20,Meditation and relaxation techniques,https://www.youtube.com/watch?v=inpok4MKVLM
Male,5,110,20,Aerobics for energy,https://www.youtube.com/watch?v=faQ9lkOrpiI
Male,5,110,20,Running and jogging routines,https://www.youtube.com/watch?v=3XcY1Z5OOjY
Male,5,130,20,Dance fitness workouts,https://www.youtube.com/watch?v=ZWk19OVon2k
Male,5,130,20,Barre workouts,https://www.youtube.com/watch?v=oTSRf8MdPbc
Male,5,130,20,Bodybuilding routines,https://www.youtube.com/watch?v=ZyXH5nJe2m4
Male,5,130,20,Full-body stretching routine,https://www.youtube.com/watch?v=QKKZ9AGYTi4
Male,5,150,20,Bodybuilding routines,https://www.youtube.com/watch?v=ZyXH5nJe2m4
Male,5,150,20,Bodybuilding routines,https://www.youtube.com/watch?v=ZyXH5nJe2m4
Male,5,170,20,Barre workouts,https://www.youtube.com/watch?v=oTSRf8MdPbc
Male,5,170,20,Yoga for flexibility,https://www.youtube.com/watch?v=4pKly2JojMw
Male,5,170,20,Meditation and relaxation techniques,https://www.youtube.com/watch?v=inpok4MKVLM
Male,5,170,20,HIIT workout for weight loss,https://www.youtube.com/watch?v=ml6cT4AZdqI
Male,5,190,20,Barre workouts,https://www.youtube.com/watch?v=oTSRf8MdPbc
Male,5,190,20,Powerlifting basics,https://www.youtube.com/watch?v=6HkgXGyoUco
Male,5,190,20,Basic cardio for everyone,https://www.youtube.com/watch?v=FOuAKcXNSp0
Male,5,210,20,Powerlifting basics,https://www.youtube.com/watch?v=6HkgXGyoUco
Male,5,210,20,Low-impact cardio workouts,https://www.youtube.com/watch?v=brxWLHDeTco
Male,5,210,20,Running and jogging routines,https://www.youtube.com/watch?v=3XcY1Z5OOjY
Male,5,230,20,Yoga for beginners,https://www.youtube.com/watch?v=v7AYKMP6rOE
Male,5,230,20,Yoga for flexibility,https://www.youtube.com/watch?v=4pKly2JojMw
Male,5,230,20,Powerlifting basics,https://www.youtube.com/watch?v=6HkgXGyoUco
Male,5,90,70,Strength training exercises,https://www.youtube.com/watch?v=U0bhE67HuDY
Male,5,90,70,Dance fitness workouts,https://www.youtube.com/watch?v=ZWk19OVon2k
Male,5,90,70,Yoga for flexibility,https://www.youtube.com/watch?v=4pKly2JojMw
Male,5,90,70,Powerlifting basics,https://www.youtube.com/watch?v=6HkgXGyoUco
Male,5,90,70,Basic cardio for everyone,https://www.youtube.com/watch?v=FOuAKcXNSp0
Male,5,110,70,HIIT workout for weight loss,https://www.youtube.com/watch?v=ml6cT4AZdqI
Male,5,110,70,Cycling indoors,https://www.youtube.com/watch?v=1A3aMY3lDWo
Male,5,110,70,Full-body stretching routine,https://www.youtube.com/watch?v=QKKZ9AGYTi4
Male,5,110,70,Barre workouts,https://www.youtube.com/watch?v=oTSRf8MdPbc
Male,5,130,70,Cycling indoors,https://www.youtube.com/watch?v=1A3aMY3lDWo
Male,5,130,70,Low-impact cardio workouts,https://www.youtube.com/watch?v=brxWLHDeTco
Male,5,130,70,Walking exercises,https://www.youtube.com/watch?v=dnFrJN3ODa0
Male,5,130,70,Meditation and relaxation techniques,https://www.youtube.com/watch?v=inpok4MKVLM
